"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"3028",2008-04-17,4.6,14,9,11.5
"3029",2008-04-18,2.6,17,9,13
"3030",2008-04-19,0.8,16,6,11
"3031",2008-04-20,2.7,20,10,15
"3032",2008-04-21,15.5,10,8,9
"3033",2008-04-22,6.5,17,8.5,12.75
"3034",2008-04-23,0.8,18,10,14
"3035",2008-04-24,0,21,9,15
"3036",2008-04-25,0,25,8,16.5
"3037",2008-04-26,0,29,8,18.5
"3038",2008-04-27,0,25,11,18
"3039",2008-04-28,1.5,13,11,12
"3040",2008-04-29,3,20,5,12.5
"3041",2008-04-30,0.4,16,6,11
"3042",2008-05-01,0,21,5,13
"3043",2008-05-02,0,25,5,15
"3044",2008-05-03,0,29,9,19
"3045",2008-05-04,7.7,24.5,11,17.75
"3046",2008-05-05,0,21,13,17
"3047",2008-05-06,0,25,12,18.5
"3048",2008-05-07,0,25,12,18.5
"3049",2008-05-08,0.3,20,16,18
"3050",2008-05-09,14,17,13,15
"3051",2008-05-10,3.4,16.5,12,14.25
"3052",2008-05-11,0,20,12,16
"3053",2008-05-12,0,21,12,16.5
"3054",2008-05-13,3,25,9,17
"3055",2008-05-14,10.5,21,12,16.5
"3056",2008-05-15,0,21,12,16.5
"3057",2008-05-16,1.3,18,12,15
"3058",2008-05-17,0,17,12,14.5
"3059",2008-05-18,22,17,10,13.5
"3060",2008-05-19,1.1,17,11,14
"3061",2008-05-20,0,17,12,14.5
"3062",2008-05-21,0,23,8.5,15.75
"3063",2008-05-22,2,21,11,16
"3064",2008-05-23,34.9,21,12,16.5
"3065",2008-05-24,13.3,17,13,15
"3066",2008-05-25,12.3,20,11,15.5
"3067",2008-05-26,5.5,21,12,16.5
"3068",2008-05-27,2.4,17,11,14
"3069",2008-05-28,26.2,21,12,16.5
"3070",2008-05-29,1.8,21,12,16.5
"3071",2008-05-30,44.1,21,12,16.5
"3072",2008-05-31,50.6,20,13,16.5
"3073",2008-06-01,2.6,17,12.5,14.75
"3074",2008-06-02,14.2,17,13,15
"3075",2008-06-03,0.5,17,13,15
"3076",2008-06-04,0.3,21,12,16.5
"3077",2008-06-05,8.7,17,12,14.5
"3078",2008-06-06,1.1,17,12,14.5
"3079",2008-06-07,8.1,17,9,13
"3080",2008-06-08,6.6,17,10.5,13.75
"3081",2008-06-09,18.7,17,12.5,14.75
"3082",2008-06-10,3,21,14,17.5
"3083",2008-06-11,13,21,16,18.5
"3084",2008-06-12,0.4,21,16,18.5
"3085",2008-06-13,3,20,15,17.5
"3086",2008-06-14,0,21,12,16.5
"3087",2008-06-15,5.1,21,12,16.5
"3088",2008-06-16,20.5,21,13,17
"3089",2008-06-17,6.6,17,14,15.5
"3090",2008-06-18,0,25,10,17.5
